Unique ID	Name
150	Attractions
151	Amusement and Theme Parks
179	Bars & Restaurants
181	Casinos & Gambling
153	Historic Site and Landmark Tours
154	Malls & Shopping Centers
155	Museums & Galleries
158	Nightclubs
159	Outdoor Attractions
160	Parks
177	Theater Venues
178	Zoos & Aquariums
1	Automotive
2	Auto Body Styles
3	Commercial Trucks
8	Convertible
9	Coupe
10	Crossover
11	Hatchback
12	Microcar
13	Minivan
14	Off-Road Vehicles
15	Pickup Trucks
4	Sedan
5	Station Wagon
6	SUV
7	Van
30	Auto Buying and Selling
31	Auto Insurance
32	Auto Parts
33	Auto Recalls
41	Auto Rentals
34	Auto Repair
35	Auto Safety
36	Auto Shows
37	Auto Technology
38	Auto Infotainment Technologies
39	Auto Navigation Systems
40	Auto Safety Technologies
16	Auto Type
17	Budget Cars
18	Certified Pre-Owned Cars
19	Classic Cars
20	Concept Cars
21	Driverless Cars
22	Green Vehicles
23	Luxury Cars
24	Performance Cars
25	Car Culture
26	Dash Cam Videos
27	Motorcycles
28	Road-Side Assistance
29	Scooters
42	Books and Literature
43	Art and Photography
46	Comics and Graphic Novels
48	Fiction
49	Poetry
52	Business and Finance
53	Business
54	Business Accounting & Finance
62	Business Administration
63	Business Banking & Finance
64	Angel Investment
65	Bankruptcy
66	Business Loans
67	Debt Factoring & Invoice Discounting
68	Mergers and Acquisitions
69	Private Equity
70	Sale & Lease Back
71	Venture Capital
72	Business I.T.
73	Business Operations
79	Business Utilities
74	Consumer Issues
75	Recalls
76	Executive Leadership & Management
77	Government Business
78	Green Solutions
55	Human Resources
56	Large Business
57	Logistics
58	Marketing and Advertising
59	Sales
60	Small and Medium-sized Business
61	Startups
80	Economy
81	Commodities
82	Currencies
83	Financial Crisis
84	Financial Reform
85	Financial Regulation
86	Gasoline Prices
87	Housing Market
88	Interest Rates
89	Job Market
90	Industries
91	Advertising Industry
102	Agriculture
113	Apparel Industry
117	Automotive Industry
118	Aviation Industry
119	Biotech and Biomedical Industry
120	Civil Engineering Industry
121	Construction Industry
122	Defense Industry
92	Education industry
93	Entertainment Industry
94	Environmental Services Industry
95	Financial Industry
96	Food Industry
97	Healthcare Industry
98	Hospitality Industry
99	Information Services Industry
100	Legal Services Industry
